Day,Date,chef_salary,Tomato_Sauce,Chilly_Sauce,Tasting_Salt,Salt,Chilli_powder,Garam_Masala,Chicken_Masala,White_Pepper,Paper_Plates,Forks&Spoons,Handel_Covers,Parcel_Covers,Venigar,Ginger_Paste,Tooth_Picks,Food_Colour,Dry_Gobi,Rice_Bag,Oil,Eggs,Noodles,Vegetables,Chicken,Water,Gas,grocories,soya_Sauce,other_expenses,OnlineOrders per day,foodappsettlement,upi,cash
Friday,10/1/2021,600,,,,,,,,,,,,,,,,,0,0,1300,390,0,330,,130,0,70,20,0,0,0,570,1780
Saturday,10/2/2021,600,,,,,,,,,,,,,,,,,0,0,0,0,0,190,,50,0,0,40,600,0,0,110,3420
Sunday,10/3/2021,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Monday,10/4/2021,600,,,,,,,,,,,,,,,,,0,0,650,150,0,590,,100,0,0,40,0,0,0,290,2520
Tuesday,10/5/2021,600,,,,,,,,,,,,,,,,,0,0,264,40,0,320,,20,0,0,20,0,0,0,340,2900
Wednesday,10/6/2021,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Thursday,10/7/2021,600,,,,,,,,,,,,,,,,,0,0,540,150,50,240,,110,0,0,40,146,0,0,410,2800
Friday,10/8/2021,600,,,,,,,,,,,,,,,,,0,0,540,300,280,440,,20,0,70,40,0,0,0,340,2300
Saturday,10/9/2021,600,,,,,,,,,,,,,,,,,0,900,414,0,200,0,,110,0,0,30,0,0,0,470,2790
Sunday,10/10/2021,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Sunday,5/12/2024,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,5/13/2024,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,5/14/2024,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3250,,,3200,5050
Wednesday,5/15/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3000,,,2000,5620
Thursday,5/16/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4530,,,2310,5670
Friday,5/17/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,7220,,,2570,6450
Saturday,5/18/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4760,,,3120,5940
Sunday,5/19/2024,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,5/20/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3540,,,2440,4700
Tuesday,5/21/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4650,,,2000,4100
Wednesday,5/22/2024,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,5/23/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3370,,,1820,4000
Friday,5/24/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4000,,,1810,3410
Saturday,5/25/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3580,,,3750,6600
Sunday,5/26/2024,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,5/27/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3920,,,3140,4870
Tuesday,5/28/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4780,,,2670,4600
Wednesday,5/29/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3450,,,2450,4550
Thursday,5/30/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3830,,,2230,5200
Friday,5/31/2024,700,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4140,,,2300,4170
Saturday,6/1/2024,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,,,2090,5400
Sunday,6/2/2024,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday,6/3/2024,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuesday,6/4/2024,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
